Mix_ID,Cement_kg_m3,Fly_Ash_kg_m3,Silica_Fume_kg_m3,Metakaolin_kg_m3,GGBS_kg_m3,RHA_kg_m3,POFA_kg_m3,Fine_Sand_kg_m3,Water_kg_m3,Extra_Water_kg_m3,Water_Binder_Ratio,Na2SiO3_Content_kg_m3,NaOH_Content_kg_m3,KOH_Content_kg_m3,Activator_Molarity_M,Superplasticizer_kg_m3,Polypropylene_Fiber_Content_%,PP_Fiber_kg_m3,Fiber_Length_mm,Compressive_Strength_MPa,Flexural_Strength_MPa,Tensile_Strength_MPa,Elastic_Modulus_GPa,Interlayer_Bond_Strength_MPa,RCPT,Water_Absorption_%,Sorptivity,Gas_Permeability,Chloride_Penetration,Acid_Attack_Loss_%,Sulphate_Resistance_%,Printing_Speed_mm_s,Layer_Height_mm,Nozzle_Diameter_mm,Build_Direction,Print_Orientation,Anisotropy_Index,Density_kg_m3,Porosity_%,SEM_Results,XRD_Results,FTIR_Results,Curing_Temperature_C,Curing_Duration_days,Heat_Curing_Conditions,Curing_Method,Dataset_Distribution,Validation_Dataset,Testing_Dataset,Statistical_Normalization,Missing_Data_Handled,Feature_Selection_Method
WGGP-WG30,0,280,60,60,140,0,0,1120,202,10,0.38,130.0,40.0,0.0,12.0,7.2,0.75,7.5,20.0,76.8,13.8,8.0,48.5,8.7,900,2.2,0.05,4.8×10⁻18,Negligible,0.8,99,24.0,14.0,22,Vertical,Parallel,1.14,2492,2.4,Compact layered structure with enhanced thermal stability and crack resistance,Strong hybrid geopolymer phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
WGGP-OPT,0,240,80,60,160,0,0,1100,196,10,0.36,136.0,42.0,0.0,14.0,7.9,1.0,10.0,25.0,94.0,18.2,10.7,60.2,12.0,595,1.3,0.02,2.9×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2605,1.5,Highly dense structure with superior printability and minimal nanopores,Strong amorphous gel structure with glass-derived silica gel,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
WGGP-RHA10,0,240,60,60,140,80,0,1100,198,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,88.5,16.7,9.8,55.8,10.9,675,1.5,0.03,3.1×10⁻18,Negligible,0.3,99,24.0,14.0,20,Vertical,Parallel,1.07,2575,1.7,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
WGGP-POFA10,0,240,60,60,140,0,80,1100,199,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,87.8,16.5,9.6,55.2,10.7,695,1.6,0.03,3.2×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2568,1.8,Secondary geopolymeric products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
RHGP-CON,0,420,20,60,80,0,0,1180,220,8,0.44,112.0,34.0,0.0,10.0,5.0,0.0,0.0,,30.8,4.3,2.5,19.5,1.8,2600,7.0,0.23,2.03×10⁻17,Moderate,6.3,85,18.0,12.0,24,Vertical,Parallel,1.46,2158,7.4,Porous geopolymer matrix with weak interlayer adhesion and unstable filament formation,Dominant quartz and fly ash crystalline phases,Moderate geopolymer gel formation,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
RHGP-R1,0,390,20,60,100,0,0,1160,214,8,0.42,118.0,36.0,0.0,10.0,5.8,0.25,2.5,10.0,44.6,6.6,3.8,28.2,3.5,1920,5.1,0.15,1.21×10⁻17,Low,3.6,91,20.0,12.0,24,Vertical,Parallel,1.35,2265,5.5,Improved rheological consistency with reduced microvoids and better extrusion stability,Increased amorphous geopolymer phases,Enhanced silicate polymerization,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
RHGP-R2,0,360,40,60,120,0,0,1140,208,10,0.4,124.0,38.0,0.0,12.0,6.5,0.5,5.0,15.0,60.0,9.6,5.6,37.5,5.9,1380,3.5,0.09,7.8×10⁻18,Very Low,1.9,96,22.0,14.0,22,Vertical,Parallel,1.24,2378,3.9,Dense matrix with improved thixotropy and filament cohesion,Reduced crystalline peaks,Strong aluminosilicate bonding,40,14,Mild heat curing at 40°C,Chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
RHGP-R3,0,330,60,60,140,0,0,1120,202,10,0.38,130.0,40.0,0.0,12.0,7.2,0.75,7.5,20.0,76.2,13.7,8.0,48.2,8.7,910,2.2,0.05,4.8×10⁻18,Negligible,0.8,99,24.0,14.0,22,Vertical,Parallel,1.14,2492,2.5,Compact layered structure with enhanced buildability and reduced cracking,Strong hybrid geopolymer phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
RHGP-OPT,0,300,80,60,160,0,0,1100,196,10,0.36,136.0,42.0,0.0,14.0,7.9,1.0,10.0,25.0,93.8,18.1,10.6,60.0,12.0,600,1.3,0.02,2.9×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2605,1.5,Highly dense structure with superior printability and minimal nanopores,Strong amorphous gel structure,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
RHGP-RHA10,0,300,60,60,140,80,0,1100,198,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,88.2,16.6,9.7,55.5,10.9,680,1.5,0.03,3.1×10⁻18,Negligible,0.3,99,24.0,14.0,20,Vertical,Parallel,1.07,2575,1.7,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
RHGP-POFA10,0,300,60,60,140,0,80,1100,199,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,87.6,16.4,9.5,55.0,10.7,700,1.6,0.03,3.2×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2568,1.8,Secondary geopolymeric products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
CSA-CON,420,0,20,0,0,0,0,1180,220,8,0.44,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,32.5,4.6,2.7,20.5,1.9,2520,6.7,0.21,1.95×10⁻17,Moderate,5.8,87,18.0,12.0,24,Vertical,Parallel,1.47,2162,7.2,Porous calcium sulfoaluminate matrix with weak interlayer adhesion and unstable filament shape,Dominant ye’elimite and ettringite phases,Moderate hydration gel formation,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CSA-B5,400,0,20,0,0,0,0,1160,214,8,0.42,0.0,0.0,0.0,0.0,5.8,0.25,2.5,10.0,46.8,7.0,4.1,29.2,3.8,1840,4.8,0.13,1.15×10⁻17,Low,3.2,93,20.0,12.0,24,Vertical,Parallel,1.36,2270,5.3,Bentonite improved thixotropy and extrusion stability with reduced microvoids,Increased amorphous hydration phases,Enhanced silicate polymerization,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
CSA-B10,380,0,40,0,0,0,0,1140,208,10,0.4,0.0,0.0,0.0,0.0,6.5,0.5,5.0,15.0,62.2,10.0,5.9,38.8,6.2,1300,3.3,0.08,7.2×10⁻18,Very Low,1.7,97,22.0,14.0,22,Vertical,Parallel,1.25,2385,3.7,Dense matrix with improved buildability and filament cohesion,Reduced crystalline peaks and enhanced ettringite formation,Strong aluminosilicate bonding,40,14,Mild heat curing at 40°C,Chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
CSA-B15,360,0,60,0,0,0,0,1120,202,10,0.38,0.0,0.0,0.0,0.0,7.2,0.75,7.5,20.0,78.9,14.2,8.3,49.8,9.0,850,2.0,0.04,4.4×10⁻18,Negligible,0.7,99,24.0,14.0,22,Vertical,Parallel,1.15,2500,2.3,Compact layered structure with enhanced shape retention and crack resistance,Strong hybrid hydration phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
CSA-OPT,340,0,80,0,0,0,0,1100,196,10,0.36,0.0,0.0,0.0,0.0,7.9,1.0,10.0,25.0,96.5,18.8,11.1,61.5,12.4,560,1.2,0.02,2.6×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2615,1.4,Highly dense structure with excellent printability and minimal nanopores,Strong amorphous gel structure,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
CSA-RHA10,340,0,60,0,0,80,0,1100,198,10,0.36,0.0,0.0,0.0,0.0,7.6,0.8,8.0,20.0,91.0,17.3,10.2,57.0,11.2,640,1.4,0.03,2.8×10⁻18,Negligible,0.3,100,24.0,14.0,20,Vertical,Parallel,1.07,2585,1.6,Fine RHA particles refined nanopore structure and improved rheology,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CSA-POFA10,340,0,60,0,0,0,80,1100,199,10,0.36,0.0,0.0,0.0,0.0,7.6,0.8,8.0,20.0,90.2,17.0,10.0,56.5,11.0,660,1.5,0.03,2.9×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2578,1.7,Secondary hydration products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
CDWG-CON,0,420,20,60,80,0,0,1180,220,8,0.44,112.0,34.0,0.0,10.0,5.0,0.0,0.0,,31.0,4.4,2.5,19.8,1.8,2580,6.9,0.22,2.00×10⁻17,Moderate,6.1,86,18.0,12.0,24,Vertical,Parallel,1.46,2160,7.3,Porous geopolymer matrix with weak interlayer adhesion and irregular extrusion filaments,Dominant quartz and fly ash crystalline phases,Moderate geopolymer gel formation,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CDWG-25,0,390,20,60,100,0,0,1160,214,8,0.42,118.0,36.0,0.0,10.0,5.8,0.25,2.5,10.0,45.2,6.7,3.9,28.6,3.6,1900,5.0,0.14,1.19×10⁻17,Low,3.5,92,20.0,12.0,24,Vertical,Parallel,1.35,2268,5.4,Improved rheological consistency with reduced microvoids and enhanced extrusion continuity,Increased amorphous geopolymer phases,Enhanced silicate polymerization,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
CDWG-50,0,360,40,60,120,0,0,1140,208,10,0.4,124.0,38.0,0.0,12.0,6.5,0.5,5.0,15.0,60.8,9.7,5.7,38.0,6.0,1360,3.4,0.09,7.6×10⁻18,Very Low,1.8,97,22.0,14.0,22,Vertical,Parallel,1.24,2382,3.8,Dense matrix with improved layer fusion and reduced cracking,Reduced crystalline peaks,Strong aluminosilicate bonding,40,14,Mild heat curing at 40°C,Chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
CDWG-75,0,330,60,60,140,0,0,1120,202,10,0.38,130.0,40.0,0.0,12.0,7.2,0.75,7.5,20.0,77.0,13.9,8.1,48.8,8.8,890,2.1,0.05,4.6×10⁻18,Negligible,0.8,99,24.0,14.0,22,Vertical,Parallel,1.14,2495,2.4,Compact layered structure with enhanced buildability and crack resistance,Strong hybrid geopolymer phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
CDWG-OPT,0,300,80,60,160,0,0,1100,196,10,0.36,136.0,42.0,0.0,14.0,7.9,1.0,10.0,25.0,94.5,18.3,10.8,60.5,12.1,590,1.3,0.02,2.8×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2610,1.5,Highly dense structure with superior printability and minimal nanopores,Strong amorphous gel structure,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
CDWG-RHA10,0,300,60,60,140,80,0,1100,198,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,89.0,16.8,9.9,56.0,11.0,670,1.5,0.03,3.0×10⁻18,Negligible,0.3,100,24.0,14.0,20,Vertical,Parallel,1.07,2580,1.7,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CDWG-POFA10,0,300,60,60,140,0,80,1100,199,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,88.3,16.6,9.7,55.5,10.8,690,1.6,0.03,3.1×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2572,1.8,Secondary geopolymeric products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
NMGP-CON,0,420,20,60,80,0,0,1180,220,8,0.44,112.0,34.0,0.0,10.0,5.0,0.0,0.0,,31.5,4.5,2.6,20.0,1.9,2570,6.8,0.22,1.99×10⁻17,Moderate,6.0,86,18.0,12.0,24,Vertical,Parallel,1.45,2160,7.3,Porous geopolymer matrix with weak interlayer adhesion and microcracks,Dominant quartz and fly ash crystalline phases,Moderate geopolymer gel formation,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
NMGP-NC05,0,390,20,60,100,0,0,1160,214,8,0.42,118.0,36.0,0.0,10.0,5.8,0.25,2.5,10.0,45.9,6.8,4.0,28.8,3.7,1890,4.9,0.14,1.18×10⁻17,Low,3.4,92,20.0,12.0,24,Vertical,Parallel,1.35,2268,5.4,Nanocellulose improved rheology and filament stability with reduced microvoids,Increased amorphous geopolymer phases,Enhanced silicate polymerization,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
NMGP-NC10,0,360,40,60,120,0,0,1140,208,10,0.4,124.0,38.0,0.0,12.0,6.5,0.5,5.0,15.0,61.3,9.8,5.8,38.2,6.1,1350,3.4,0.09,7.5×10⁻18,Very Low,1.8,97,22.0,14.0,22,Vertical,Parallel,1.24,2380,3.8,Dense matrix with improved layer fusion and reduced shrinkage cracking,Reduced crystalline peaks,Strong aluminosilicate bonding,40,14,Mild heat curing at 40°C,Chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
NMGP-MGO5,0,330,60,60,140,0,0,1120,202,10,0.38,130.0,40.0,0.0,12.0,7.2,0.75,7.5,20.0,77.5,14.0,8.2,49.0,8.9,880,2.1,0.05,4.6×10⁻18,Negligible,0.8,99,24.0,14.0,22,Vertical,Parallel,1.14,2492,2.4,MgO promoted crack mitigation and compact microstructure,Strong hybrid geopolymer phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
NMGP-OPT,0,300,80,60,160,0,0,1100,196,10,0.36,136.0,42.0,0.0,14.0,7.9,1.0,10.0,25.0,95.0,18.5,10.9,60.7,12.2,580,1.3,0.02,2.8×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2608,1.5,Highly dense structure with excellent printability and minimal nanopores,Strong amorphous gel structure,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
NMGP-RHA10,0,300,60,60,140,80,0,1100,198,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,89.5,17.0,10.0,56.3,11.1,660,1.5,0.03,3.0×10⁻18,Negligible,0.3,100,24.0,14.0,20,Vertical,Parallel,1.07,2578,1.7,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
NMGP-POFA10,0,300,60,60,140,0,80,1100,199,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,88.8,16.8,9.8,55.8,10.9,680,1.6,0.03,3.1×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2570,1.8,Secondary geopolymeric products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
CSA-PMS-CON,420,0,20,0,0,0,0,1180,220,8,0.44,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,31.8,4.5,2.6,20.0,1.9,2550,6.8,0.22,1.98×10⁻17,Moderate,6.0,86,18.0,12.0,24,Vertical,Parallel,1.46,2160,7.2,Porous calcium sulphoaluminate matrix with weak layer bonding and unstable filament shape,Dominant ye’elimite and ettringite phases,Moderate hydration gel formation,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CSA-PMS5,400,0,20,0,0,0,0,1160,214,8,0.42,0.0,0.0,0.0,0.0,5.8,0.25,2.5,10.0,45.5,6.8,4.0,28.6,3.7,1870,4.9,0.14,1.17×10⁻17,Low,3.4,92,20.0,12.0,24,Vertical,Parallel,1.35,2268,5.3,Paper milling sludge improved rheological consistency and extrusion stability,Increased amorphous hydration phases,Enhanced silicate polymerization,25,28,Ambient curing,Moist curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
CSA-PMS10,380,0,40,0,0,0,0,1140,208,10,0.4,0.0,0.0,0.0,0.0,6.5,0.5,5.0,15.0,60.9,9.8,5.8,38.0,6.1,1330,3.3,0.08,7.4×10⁻18,Very Low,1.8,97,22.0,14.0,22,Vertical,Parallel,1.24,2380,3.7,Dense matrix with improved buildability and reduced microvoids,Reduced crystalline peaks with enhanced ettringite formation,Strong aluminosilicate bonding,40,14,Mild heat curing at 40°C,Chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
CSA-PMS15,360,0,60,0,0,0,0,1120,202,10,0.38,0.0,0.0,0.0,0.0,7.2,0.75,7.5,20.0,77.2,14.0,8.2,48.9,8.9,870,2.1,0.05,4.5×10⁻18,Negligible,0.7,99,24.0,14.0,22,Vertical,Parallel,1.14,2492,2.3,Compact layered structure with improved shape retention and crack resistance,Strong hybrid hydration phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
CSA-PMS-OPT,340,0,80,0,0,0,0,1100,196,10,0.36,0.0,0.0,0.0,0.0,7.9,1.0,10.0,25.0,94.8,18.4,10.9,60.6,12.2,575,1.2,0.02,2.7×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2608,1.4,Highly dense structure with excellent printability and minimal nanopores,Strong amorphous gel structure,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
CSA-PMS-RHA10,340,0,60,0,0,80,0,1100,198,10,0.36,0.0,0.0,0.0,0.0,7.6,0.8,8.0,20.0,89.2,16.9,10.0,56.1,11.1,655,1.4,0.03,2.9×10⁻18,Negligible,0.3,100,24.0,14.0,20,Vertical,Parallel,1.07,2578,1.6,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CSA-PMS-POFA10,340,0,60,0,0,0,80,1100,199,10,0.36,0.0,0.0,0.0,0.0,7.6,0.8,8.0,20.0,88.5,16.7,9.8,55.6,10.9,675,1.5,0.03,3.0×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2570,1.7,Secondary hydration products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
NMGO-CON,0,420,20,60,80,0,0,1180,220,8,0.44,112.0,34.0,0.0,10.0,5.0,0.0,0.0,,31.5,4.5,2.6,20.0,1.9,2570,6.8,0.22,1.99×10⁻17,Moderate,6.0,86,18.0,12.0,24,Vertical,Parallel,1.45,2160,7.3,Porous geopolymer matrix with weak interlayer adhesion and microcracks,Dominant quartz and fly ash crystalline phases,Moderate geopolymer gel formation,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
NMGO-NC05,0,390,20,60,100,0,0,1160,214,8,0.42,118.0,36.0,0.0,10.0,5.8,0.25,2.5,10.0,45.9,6.8,4.0,28.8,3.7,1890,4.9,0.14,1.18×10⁻17,Low,3.4,92,20.0,12.0,24,Vertical,Parallel,1.35,2268,5.4,Nanocellulose improved rheology and filament stability with reduced microvoids,Increased amorphous geopolymer phases,Enhanced silicate polymerization,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
NMGO-NC10,0,360,40,60,120,0,0,1140,208,10,0.4,124.0,38.0,0.0,12.0,6.5,0.5,5.0,15.0,61.3,9.8,5.8,38.2,6.1,1350,3.4,0.09,7.5×10⁻18,Very Low,1.8,97,22.0,14.0,22,Vertical,Parallel,1.24,2380,3.8,Dense matrix with improved layer fusion and reduced shrinkage cracking,Reduced crystalline peaks,Strong aluminosilicate bonding,40,14,Mild heat curing at 40°C,Chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
NMGO-MGO5,0,330,60,60,140,0,0,1120,202,10,0.38,130.0,40.0,0.0,12.0,7.2,0.75,7.5,20.0,77.5,14.0,8.2,49.0,8.9,880,2.1,0.05,4.6×10⁻18,Negligible,0.8,99,24.0,14.0,22,Vertical,Parallel,1.14,2492,2.4,MgO promoted crack mitigation and compact microstructure,Strong hybrid geopolymer phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
NMGO-OPT,0,300,80,60,160,0,0,1100,196,10,0.36,136.0,42.0,0.0,14.0,7.9,1.0,10.0,25.0,95.0,18.5,10.9,60.7,12.2,580,1.3,0.02,2.8×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2608,1.5,Highly dense structure with excellent printability and minimal nanopores,Strong amorphous gel structure,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
NMGO-RHA10,0,300,60,60,140,80,0,1100,198,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,89.5,17.0,10.0,56.3,11.1,660,1.5,0.03,3.0×10⁻18,Negligible,0.3,100,24.0,14.0,20,Vertical,Parallel,1.07,2578,1.7,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
NMGO-POFA10,0,300,60,60,140,0,80,1100,199,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,88.8,16.8,9.8,55.8,10.9,680,1.6,0.03,3.1×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2570,1.8,Secondary geopolymeric products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
ROGP-CON,0,420,20,60,80,0,0,1180,220,8,0.44,112.0,34.0,0.0,10.0,5.0,0.0,0.0,,31.8,4.5,2.6,20.0,1.9,2560,6.8,0.22,1.98×10⁻17,Moderate,6.0,86,18.0,12.0,24,Vertical,Parallel,1.46,2162,7.2,Porous geopolymer matrix with weak layer bonding and irregular filament geometry,Dominant quartz and fly ash crystalline phases,Moderate geopolymer gel formation,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
ROGP-OPT1,0,390,20,60,100,0,0,1160,214,8,0.42,118.0,36.0,0.0,10.0,5.8,0.25,2.5,10.0,46.0,6.9,4.0,28.9,3.8,1880,4.9,0.14,1.17×10⁻17,Low,3.4,92,20.0,12.0,24,Vertical,Parallel,1.35,2270,5.3,Improved rheological consistency with better extrusion stability and reduced microvoids,Increased amorphous geopolymer phases,Enhanced silicate polymerization,25,28,Ambient curing,Sealed curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
ROGP-OPT2,0,360,40,60,120,0,0,1140,208,10,0.4,124.0,38.0,0.0,12.0,6.5,0.5,5.0,15.0,61.5,9.9,5.8,38.4,6.2,1340,3.3,0.08,7.4×10⁻18,Very Low,1.8,97,22.0,14.0,22,Vertical,Parallel,1.24,2385,3.7,Dense matrix with enhanced buildability and reduced shrinkage cracking,Reduced crystalline peaks,Strong aluminosilicate bonding,40,14,Mild heat curing at 40°C,Chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
ROGP-OPT3,0,330,60,60,140,0,0,1120,202,10,0.38,130.0,40.0,0.0,12.0,7.2,0.75,7.5,20.0,77.8,14.1,8.3,49.2,9.0,870,2.1,0.05,4.5×10⁻18,Negligible,0.7,99,24.0,14.0,22,Vertical,Parallel,1.14,2498,2.3,Compact layered structure with optimized shape retention and crack resistance,Strong hybrid geopolymer phases,Highly polymerized silica bands,50,10,Heat curing at 50°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
ROGP-BEST,0,300,80,60,160,0,0,1100,196,10,0.36,136.0,42.0,0.0,14.0,7.9,1.0,10.0,25.0,95.6,18.7,11.0,61.0,12.3,570,1.2,0.02,2.7×10⁻18,Negligible,0.2,100,26.0,16.0,20,Vertical,Parallel,1.05,2612,1.4,Highly dense structure with excellent printability and minimal nanopores,Strong amorphous gel structure,Stable silica-rich gel,60,7,Heat curing at 60°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Bayesian optimization + SHAP ranking
ROGP-RHA10,0,300,60,60,140,80,0,1100,198,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,90.0,17.2,10.1,56.6,11.2,650,1.4,0.03,2.9×10⁻18,Negligible,0.3,100,24.0,14.0,20,Vertical,Parallel,1.07,2582,1.6,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
ROGP-POFA10,0,300,60,60,140,0,80,1100,199,10,0.36,134.0,41.0,0.0,14.0,7.6,0.8,8.0,20.0,89.2,16.9,9.9,56.0,11.0,670,1.5,0.03,3.0×10⁻18,Negligible,0.4,99,24.0,14.0,20,Vertical,Parallel,1.08,2574,1.7,Secondary geopolymeric products improved matrix compactness,Increased hydration products,Stable geopolymeric structure,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
